Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind
2021-02-24 20:14:41,CRO Rewards,CRO,1.32631208,,,USD,0.21,0.21,referral_card_cashback
2021-02-24 16:39:22,CRO Rewards,CRO,2.08726833,,,USD,0.34,0.34,referral_card_cashback
2021-02-24 16:19:51,CRO Rewards,CRO,0.80106222,,,USD,0.13,0.13,referral_card_cashback
2021-02-24 00:27:58,Crypto Earn,LTC,0.00060104,,,USD,0.1,0.1,crypto_earn_interest_paid
2021-02-24 00:27:57,Crypto Earn,BTC,0.00001812,,,USD,0.85,0.85,crypto_earn_interest_paid
2021-02-24 00:27:57,Crypto Earn,ETH,0.00032536,,,USD,0.48,0.48,crypto_earn_interest_paid
2021-02-24 00:27:57,Crypto Earn,XLM,0.58727123,,,USD,0.21,0.21,crypto_earn_interest_paid
2021-02-23 15:12:17,Convert Dust,CRO,0.727547873,,,USD,0.11,0.11,dust_conversion_credited
2021-02-23 15:12:17,Convert Dust,TUSD,-0.11,,,USD,-0.11,-0.11,dust_conversion_debited
2021-02-23 15:11:51,TUSD -> USD,TUSD,-999.89,,,USD,-990.51,-990.51,card_top_up
2021-02-23 15:10:56,Buy TUSD,TUSD,1000.0,,,USD,1012.95,1012.95,crypto_purchase
2021-02-20 18:06:44,Buy UNI,UNI,7.0,,,USD,216.35,216.35,crypto_purchase
2021-02-19 00:13:11,USD -> LINK,USD,-100.42,LINK,3.069,USD,100.42,100.42,van_purchase
2021-02-18 21:59:25,BNT -> USD,BNT,-17.0,USD,100.43,USD,-100.43,-100.43,crypto_to_van_sell_order
2021-02-18 21:28:10,Buy BNT,BNT,17.0,,,USD,104.19,104.19,crypto_purchase
2021-02-17 15:50:30,Convert Dust,CRO,0.162453793924489985,,,USD,0.02,0.02,dust_conversion_credited
2021-02-17 15:50:30,Convert Dust,XLM,-0.0323446,,,USD,-0.02,-0.02,dust_conversion_debited
2021-02-17 15:48:48,Crypto Earn Deposit,LTC,-1.567,,,USD,-353.14,-353.14,crypto_earn_program_created
2021-02-17 15:48:16,Crypto Earn Deposit,BTC,-0.021,,,USD,-1066.93,-1066.93,crypto_earn_program_created
2021-02-17 15:47:48,Crypto Earn Deposit,ETH,-0.377,,,USD,-677.25,-677.25,crypto_earn_program_created
2021-02-17 15:46:26,Crypto Earn Deposit,XLM,-1531.1,,,USD,-745.46,-745.46,crypto_earn_program_created
2021-02-17 15:21:50,CRO -> XLM,CRO,-2999.14567732,XLM,582.8,USD,285.58,285.58,crypto_exchange
2021-02-17 15:21:21,DOGE -> CRO,DOGE,-1448.0,CRO,768.9486462,USD,74.8,74.8,crypto_exchange
2021-02-17 15:21:06,ADA -> CRO,ADA,-110.0,CRO,968.75735001,USD,93.72,93.72,crypto_exchange
2021-02-17 15:20:47,DOT -> CRO,DOT,-4.0,CRO,1261.43968111,USD,122.15,122.15,crypto_exchange
2021-02-14 19:59:27,Buy XLM,XLM,650.0,,,USD,339.56,339.56,crypto_purchase
2021-02-13 16:56:21,Buy DOT,DOT,4.0,,,USD,113.98,113.98,crypto_purchase
2021-02-13 16:55:13,Buy ADA,ADA,110.0,,,USD,100.44,100.44,crypto_purchase
2021-02-12 20:01:34,Buy DOGE,DOGE,1448.0,,,USD,100.02,100.02,crypto_purchase
2021-02-12 19:56:28,Buy LTC,LTC,1.567,,,USD,300.01,300.01,crypto_purchase
2021-02-12 19:55:37,Buy ETH,ETH,0.377,,,USD,698.42,698.42,crypto_purchase
2021-02-12 19:54:27,Buy BTC,BTC,0.021,,,USD,999.5,999.5,crypto_purchase
2021-02-12 19:51:19,XLM Deposit,XLM,298.3323446,,,USD,146.49,146.49,crypto_deposit
2021-02-12 15:32:05,CRO Stake,CRO,-5000.0,,,USD,-428.98,-428.98,lockup_lock
2021-02-12 15:32:02,Buy CRO,CRO,5000.0,,,USD,430.7,430.7,crypto_purchase
